Sample	Gene	TPM
v1_nomultiseg_5708sTS_Human_Hindbrain_12w_Female_nomultiseg_bam	ADAR	219.148498072172
v1_nomultiseg_5709sTS_Human_Kidney_10w_Female_nomultiseg_bam	ADAR	212.713225643805
v1_nomultiseg_5711sTS_Human_Forebrain_13w_Male_nomultiseg_bam	ADAR	214.588799709268
v1_nomultiseg_5713sTS_Human_Kidney_13w_Male_nomultiseg_bam	ADAR	193.640164241696
v1_nomultiseg_5716sTS_Human_Testis_13w_Male_nomultiseg_bam	ADAR	250.452687810034
v1_nomultiseg_5717sTS_Human_Kidney_5w_Female_nomultiseg_bam	ADAR	239.636187701548
v1_nomultiseg_5721sTS_Human_Forebrain_12w_Male_nomultiseg_bam	ADAR	246.022371689712
v1_nomultiseg_5722sTS_Human_Hindbrain_12w_Male_nomultiseg_bam	ADAR	277.586976322177
v1_nomultiseg_5724sTS_Human_Hindbrain_13w_Male_nomultiseg_bam	ADAR	220.380946215178
v1_nomultiseg_5742sTS_Human_Hindbrain_6w_Female_nomultiseg_bam	ADAR	203.023822676263
v1_nomultiseg_5743sTS_Human_Hindbrain_10w_Female_nomultiseg_bam	ADAR	187.026879192063
v1_nomultiseg_5768sTS_Human_Brain_19w_Male_nomultiseg_bam	ADAR	190.431829212157
v1_nomultiseg_5769sTS_Human_Liver_19w_Male_nomultiseg_bam	ADAR	160.208749627762
v1_nomultiseg_5770sTS_Human_Brain_20w_Female_nomultiseg_bam	ADAR	201.531221187464
v1_nomultiseg_5771sTS_Human_Kidney_20w_Female_nomultiseg_bam	ADAR	193.04379154208
v1_nomultiseg_5772sTS_Human_Liver_20w_Female_nomultiseg_bam	ADAR	175.57693412545
v1_nomultiseg_5773sTS_Human_Liver_20w_Male_nomultiseg_bam	ADAR	159.234620270431
v1_nomultiseg_5775sTS_Human_Kidney_20w_Male_nomultiseg_bam	ADAR	182.316655270161
v1_nomultiseg_5777sTS_Human_Heart_19w_Male_nomultiseg_bam	ADAR	120.331105326107
v1_nomultiseg_5778sTS_Human_Testis_19w_Male_nomultiseg_bam	ADAR	199.227161003342
v1_nomultiseg_5779sTS_Human_Kidney_19w_Male_nomultiseg_bam	ADAR	169.66533981725
v1_nomultiseg_5780sTS_Human_Heart_19w_Male_nomultiseg_bam	ADAR	95.536044087724
v1_nomultiseg_5781sTS_Human_Liver_19w_Female_nomultiseg_bam	ADAR	124.647722048462
v1_nomultiseg_5782sTS_Human_Brain_19w_Female_nomultiseg_bam	ADAR	219.285141655161
v1_nomultiseg_5783sTS_Human_Heart_19w_Female_nomultiseg_bam	ADAR	138.97677296391
v1_nomultiseg_5818sTS_Human_Heart_226dpb_Male_nomultiseg_bam	ADAR	139.193071991667
v1_nomultiseg_5819sTS_Human_Kidney_226dpb_Female_nomultiseg_bam	ADAR	147.213028695105
v1_nomultiseg_5821sTS_Human_Kidney_2ypb_Male_nomultiseg_bam	ADAR	156.820849781412
v1_nomultiseg_5822sTS_Human_Heart_13ypb_Male_nomultiseg_bam	ADAR	87.8515353859634
v1_nomultiseg_5828sTS_Human_Heart_6mpb_Female_nomultiseg_bam	ADAR	108.223587904422
v1_nomultiseg_5834sTS_Human_Kidney_34dpb_Male_nomultiseg_bam	ADAR	161.213520737547
v1_nomultiseg_5836sTS_Human_Heart_127dpb_Male_nomultiseg_bam	ADAR	121.87087619458
v1_nomultiseg_5837sTS_Human_Brain_4ypb_Male_nomultiseg_bam	ADAR	162.392368906375
v1_nomultiseg_5839sTS_Human_Heart_2ypb_Male_nomultiseg_bam	ADAR	89.9582677358343
v1_nomultiseg_5841sTS_Human_Testis_1ypb_Male_nomultiseg_bam	ADAR	191.137907166893
v1_nomultiseg_5842sTS_Human_Cerebellum_0dpb_Female_nomultiseg_bam	ADAR	181.864762893706
v1_nomultiseg_5843sTS_Human_Heart_0dpb_Female_nomultiseg_bam	ADAR	139.476640746186
v1_nomultiseg_5844sTS_Human_Kidney_0dpb_Female_nomultiseg_bam	ADAR	193.831032416841
v1_nomultiseg_5846sTS_Human_Cerebellum_4ypb_Male_nomultiseg_bam	ADAR	190.465502853562
v1_nomultiseg_5848sTS_Human_Cerebellum_0dpb_Female_nomultiseg_bam	ADAR	169.606562463428
v1_nomultiseg_5849sTS_Human_Cerebellum_6mpb_Female_nomultiseg_bam	ADAR	242.734492137558
v1_nomultiseg_5850sTS_Human_Heart_6dpb_Male_nomultiseg_bam	ADAR	100.49226730713
v1_nomultiseg_5892sTS_Human_Brain_4dpb_Male_nomultiseg_bam	ADAR	162.388066745231
v1_nomultiseg_5894sTS_Human_Brain_15dpb_Female_nomultiseg_bam	ADAR	187.773893197248
v1_nomultiseg_5904sTS_Human_Brain_4ypb_Male_nomultiseg_bam	ADAR	165.667705323513
v1_nomultiseg_5905sTS_Human_Heart_94dpb_Male_nomultiseg_bam	ADAR	134.717906944542
